unit_id,window,radius_m,population_weight,weighted_departures,expected_departures_per_resident,population_reached,reach_fraction,support_points,strict_cross_city_accepted
CHI:37,weekday_am,800,2538.4532086130685,248895.53846152726,98.0500793227211,2538.4532086130685,1.0,207,False
CHI:38,saturday_am,400,24590.143148545125,874272.0130557925,35.55375858426098,24590.14314854513,1.0000000000000002,759,False
CHI:38,saturday_am,800,24590.143148545125,1811984.6887802444,73.68743963116988,24590.14314854513,1.0000000000000002,759,False
CHI:38,sunday_am,400,24590.143148545125,821607.539332628,33.41206817583079,24590.14314854513,1.0000000000000002,759,False
CHI:38,sunday_am,800,24590.143148545125,1692641.1772321989,68.8341327257521,24590.14314854513,1.0000000000000002,759,False
CHI:38,weekday_am,400,24590.143148545125,1225607.8802262258,49.8414292597861,24590.14314854513,1.0000000000000002,759,False
CHI:38,weekday_am,800,24590.143148545125,2638639.1085857274,107.30474778638458,24590.14314854513,1.0000000000000002,759,False
CHI:39,saturday_am,400,19117.61966341557,820815.8434487882,42.93504410591148,19107.408929611738,0.9994658993125921,307,False
CHI:39,saturday_am,800,19117.61966341557,1442167.1644246047,75.43654439283608,19117.61966341557,1.0,307,False
CHI:39,sunday_am,400,19117.61966341557,761808.180631085,39.84848501243693,19107.408929611738,0.9994658993125921,307,False
CHI:39,sunday_am,800,19117.61966341557,1326581.6348874308,69.39052341469286,19117.61966341557,1.0,307,False
CHI:39,weekday_am,400,19117.61966341557,1217587.7895177328,63.68929871786127,19107.408929611738,0.9994658993125921,307,False
CHI:39,weekday_am,800,19117.61966341557,2185204.568755921,114.30317200721579,19117.61966341557,1.0,307,False
CHI:40,saturday_am,400,12709.007950723826,461277.0544888376,36.295284122673486,12709.007950723826,1.0,382,False
CHI:40,saturday_am,800,12709.007950723826,926973.853607259,72.93833296834663,12709.007950723826,1.0,382,False
CHI:40,sunday_am,400,12709.007950723826,355361.2007192998,27.96136426203594,12709.007950723826,1.0,382,False
CHI:40,sunday_am,800,12709.007950723826,744710.8868317235,58.59709032515865,12709.007950723826,1.0,382,False
CHI:40,weekday_am,400,12709.007950723826,580891.2847273188,45.70705179976183,12709.007950723826,1.0,382,False
CHI:40,weekday_am,800,12709.007950723826,1239293.9797212754,97.51303835250908,12709.007950723826,1.0,382,False
CHI:41,saturday_am,400,29456.711227003998,1573941.8852609273,53.43236972829607,29456.711227003998,1.0,422,False
CHI:41,saturday_am,800,29456.711227003998,2693226.0047262604,91.4299625634136,29456.711227003998,1.0,422,False
CHI:41,sunday_am,400,29456.711227003998,1282201.2552303763,43.528323489654795,29456.711227003998,1.0,422,False
