unit_id,district_name,gross_area_m2,cmap_proxy_water_m2,population_allocated,jobs_allocated,hydro_water_m2,hydro_land_m2,population_density_2020_gross_km2,jobs_density_2022_gross_km2
CHI:58,BRIGHTON PARK,7045514.692655271,0.0,45060.66500040796,6689.3207274748875,0.0,7045514.69265528,6395.652690552515,949.4438687990099
CHI:59,MCKINLEY PARK,3660611.3185833413,0.0,15945.307517501082,6736.6460011709905,72852.46432947881,3587758.8542538635,4355.913843284494,1840.3062808039604
CHI:60,BRIDGEPORT,5411376.26288976,12458.028406343929,33703.96134292813,5208.274598383284,98194.73497222798,5313181.527917542,6228.35295598715,962.4676506235003
CHI:61,NEW CITY,12498811.102789551,0.0,43590.659534805,12227.251747168693,109975.39251320981,12388835.710276345,3487.584473140506,978.2731850743588
CHI:62,WEST ELSDON,3036772.3278312637,0.0,18276.396073484248,1538.564399959887,0.0,3036772.327831265,6018.362294066506,506.6446324801259
CHI:63,GAGE PARK,5689383.197588823,0.0,39636.01860808234,5037.680853875162,0.0,5689383.197588821,6966.6635611537295,885.4529004146084
CHI:64,CLEARING,6604979.639871065,0.0,24483.090222380437,6037.838900852533,0.0,6604979.639871069,3706.7624061379197,914.1343698328791
CHI:65,WEST LAWN,7641846.6241053315,0.0,33632.122140642336,8410.360289968441,0.0,7641846.624105335,4401.046474101385,1100.566486566077
CHI:66,CHICAGO LAWN,9123770.849222558,0.0,55927.27893637804,3963.6835071331543,184164.26757393524,8939606.581648624,6129.842568453332,434.43479375316645
CHI:67,WEST ENGLEWOOD,8164513.351020754,0.0,29642.709551105803,1456.4919813562326,0.0,8164513.351020756,3630.6768421659535,178.39299401404458
CHI:68,ENGLEWOOD,7951338.819003335,0.0,24352.266822191534,1631.4508457298625,0.0,7951338.819003343,3062.6624492457463,205.1793896432598
CHI:69,GREATER GRAND CROSSING,9176699.438654505,0.0,31471.67674225001,2957.427866222902,56574.277250770596,9120125.161403725,3429.520270619696,322.27576875466707
CHI:70,ASHBURN,12575528.458546674,0.0,41145.42167401799,4378.429362394543,0.0,12575528.458546683,3271.864225002364,348.1706058578272
CHI:71,AUBURN GRESHAM,9753564.39047053,0.0,44867.72437074917,2679.0516891487596,0.0,9753564.390470546,4600.136173252316,274.6741172659154
CHI:72,BEVERLY,8241752.41919864,0.0,19908.10132156496,4751.4719701572885,5424.482451303913,8236327.936747334,2415.518000175581,576.5123396680826
CHI:73,WASHINGTON HEIGHTS,7392825.464327746,0.0,25183.52193154017,1564.8205706824501,802.9866832511689,7392022.477644499,3406.4813315365063,211.66745762267828
CHI:74,MOUNT GREENWOOD,7016921.1373001775,0.0,18627.789517965593,3478.0604864765123,37344.35587405757,6979576.78142613,2654.695578513057,495.6676038423779
CHI:75,MORGAN PARK,8529326.80246866,0.0,21176.320594268043,3614.110607145562,0.0,8529326.802468637,2482.7657662429983,423.72753334993837
CHI:76,OHARE,34522423.5838005,1350.4853734221447,13425.671333539074,44690.04922856013,563934.3750370279,33958489.208763435,388.8971265574475,1294.5223593609674
CHI:77,EDGEWATER,4497787.52675187,0.0,56066.0777402666,7523.732098206642,0.07141786886460966,4497787.453976137,12465.257064011508,1672.762898082025
