district_id,block_compactness_iqr,block_compactness_median,block_elongation_iqr,block_elongation_median,block_log_area_iqr,block_log_area_median,building_coverage_land,bus_service_access_weekday_am_400m,cadastral_floor_area_density,cadastral_floor_count_median,cadastral_floor_count_p90,cadastral_parcel_density_km2,formal_job_density_area_first_km2,intersection_density_proxy_5m_km2,land_use_entropy_count,population_density_km2,street_class_model_share_arterial,street_class_model_share_coletora,street_class_model_share_local,street_class_model_share_rodovia,street_class_model_share_via_de_pedestres,street_class_model_share_vtr,street_density_km_km2,district_name
34,0.18719043857558582,0.7523470646603041,0.9200774392654598,1.4501202902637962,0.7008248899752338,9.297054856789789,0.43400114295596337,198.62823016811944,0.8604678220561717,2.0,2.0,1825.8510581190153,5527.023558782971,97.336310763836,0.530477772669976,10612.825890065458,0.25790569351574827,0.29124889905428275,0.4470287033203713,0.0,0.003816704109597674,0.0,17.69322919111755,IPIRANGA
35,0.16250467358806897,0.7181698037389271,0.9146549434855218,1.8165933535804804,1.0704310346220964,9.145956680701712,0.2572629314534762,324.4322850396488,2.2358118918295657,2.0,5.0,1501.5513240055975,45155.20085540262,131.26355403157743,0.5557210114697533,10135.202017415391,0.17360120292178313,0.3131606603069977,0.5067009023749739,0.0,0.0011935875394612748,0.0053436468567839585,22.06075861132324,ITAIM BIBI
36,0.21120658931365988,0.614097739965504,1.5453259734210323,2.3481612728471077,0.8017723538559807,9.02625367280949,0.42695766154112014,167.8647634442669,0.38546217574835234,1.0,2.0,2559.564184148976,2074.964712962226,140.84356914965724,0.4064703688176735,16852.729829145537,0.030109804973674506,0.20626861382816536,0.7521741519046208,0.0,0.011447429293539447,0.0,22.08143072424673,ITAIM PAULISTA
37,0.23295389369294395,0.6634644927458053,1.2335217403368166,2.069145117558186,0.8457311772492577,9.040475401822729,0.3827566428059699,282.43631989749036,0.46733662782790003,1.0,2.0,2035.6465846462243,2209.1396081382786,118.8569839560554,0.40036365711669825,14240.999695734738,0.0640796119367617,0.2556886158653465,0.6672709242974066,0.0,0.012960847900485203,0.0,21.433082447902475,ITAQUERA
38,0.25556566368802447,0.6414738759564436,1.2273565351966778,1.841970562610518,1.0019983769468208,9.199781163722314,0.34109210841762017,266.8828885148547,0.7455253562984223,2.0,2.0,2425.9097789377975,4236.357069520066,121.21339506919283,0.40276156469017416,15325.975625087565,0.054294434932458134,0.19480061386675057,0.7262256329642468,0.021478920953470457,0.003200397283074164,0.0,21.484834627907194,JABAQUARA
39,0.26302660626563135,0.6588736780660273,1.1833547340324735,1.8537685980225906,1.0710936436018716,8.91161461317935,0.39171161148829853,129.75409770595337,0.4123533051350973,2.0,2.0,2115.484848690088,2337.875639333336,134.7800986562526,0.31903781819346083,11528.307382635152,0.02241858376330739,0.17156180535237397,0.7394648025743654,0.06614732332317008,0.0004074849867832605,0.0,20.749453007878586,JACANA
40,0.2267982746255221,0.6080685836634668,1.3331124651738597,2.0898087732103736,0.8865571402115417,9.215063141833198,0.2757769588382627,50.11127952642501,0.42689726438568903,1.0,2.0,1429.1394561684856,5542.079857191298,89.84036654714707,0.41604350917446203,5428.141092480749,0.10770645461921971,0.14409480094001775,0.6724757193778361,0.06622170592940246,0.008545880738511851,0.0009554383950121687,18.580496015152804,JAGUARA
41,0.2045290353634377,0.5874807255967722,1.40035007719994,2.181504054171942,1.074974777886549,9.178831590104858,0.2607982726955802,60.34035277919107,0.4948750879821749,1.0,2.0,948.6566681425284,13788.624587784694,80.92374772973005,0.4819414440198309,8421.378769913596,0.1678501988615293,0.1646508030231692,0.650813693294598,0.0,0.0073262062902752344,0.009359098530428187,16.360671525219626,JAGUARE
42,0.28393760737417706,0.5500012082661557,1.331971211853285,2.2033954265377473,1.4366350374593786,9.110372153534817,0.16542674263420043,148.56978639279194,0.17753138482738892,1.0,2.0,720.2536365850589,705.4468058284738,48.877784198541555,0.40443176772502215,7520.503202564458,0.023421432282107368,0.10187138150889241,0.8586509747205595,0.0020289503830491253,0.014027261105391655,0.0,10.464478751213132,JARAGUA
43,0.31890896975737937,0.5437120809574525,1.3481979169013212,2.2219543260455485,1.2040342955631047,9.135949956802131,0.1898643981229106,169.91228203969683,0.0910453236318267,1.0,2.0,751.8432596103313,415.825041685668,60.334459092357974,0.47486134067862446,8555.552721198474,0.05128493690246419,0.13681628900957038,0.8026905754843713,0.0,0.009208198603594061,0.0,11.117155132149941,JARDIM ANGELA
44,0.19985707759472715,0.6764990008658182,1.3001415930023796,2.090967564718132,0.7273516575895496,8.819071938140187,0.3811942329221522,100.60346873665348,0.2879370413346287,1.0,2.0,2028.3253234092567,796.132909146087,107.33996195616031,0.3890218174507995,14061.59380176749,0.004483924771622525,0.2405387287520412,0.7549773464763364,0.0,0.0,0.0,18.274284078416294,JARDIM HELENA
45,0.13223234100183323,0.7456392460270838,0.619526004616995,1.5989292009747191,0.6785559632414255,9.675900271690118,0.42214168236470656,393.7704218868026,2.436295489378295,2.0,15.0,1221.7743518201228,30366.30041257645,80.01829904087865,0.5864818115927249,13109.010691461304,0.117792981405879,0.4897271545984901,0.3904022830812041,0.0,0.0020775809144269065,0.0,17.369478118496197,JARDIM PAULISTA
46,0.30156681836919214,0.5716454488971385,1.419342940875418,2.255575988809252,1.0865353227463697,9.093608824585939,0.23149271716113445,194.35782373251902,0.251082464312693,1.0,2.0,1158.1401960344924,1691.2378673600429,82.35134656547059,0.4457535418727547,9991.325151271516,0.06754085573089613,0.13159122205606702,0.7875812314638347,0.0,0.013286690749202116,0.0,13.479829574656055,JARDIM SAO LUIS
47,0.22131509311952696,0.6256255611330173,1.1302216544354464,2.188669176476729,1.3082268931391177,8.968126450980593,0.19269929326552415,198.26773895913254,0.23300792173628254,1.0,2.0,669.3080928111276,1797.4391942473997,57.94399736717527,0.36305615237943434,8837.605031134548,0.059975489927066805,0.2470673647990274,0.6861988767116461,0.0,0.0067582685622595146,0.0,11.642897495531544,JOSE BONIFACIO
48,0.26542646450435825,0.6830475686452843,1.3158267095128935,1.7598107539881205,0.7841392788990706,9.54228207953663,0.4192196719911072,323.4454816711464,0.8851648120550906,2.0,2.0,1536.8289481681118,11820.492512305065,76.05367912083682,0.5618641322981752,7344.192201386755,0.1102492483131588,0.30683176734201956,0.5642420923464736,0.0,0.01682613616714403,0.0018507558312038487,17.796198789416156,LAPA
49,0.26212112742473703,0.6676797652019973,1.0414303357522579,1.6955682050532592,0.9389539441056822,9.397227074036753,0.4492908275879926,192.83328483255127,1.7685809571524511,2.0,4.0,1849.502748083363,12423.423153196525,91.21510887318719,0.6166397389197917,18039.704846898443,0.08297993999140393,0.4431621197302538,0.4413122563804708,0.0,0.0,0.03254568389787148,18.617030640984034,LIBERDADE
50,0.24999733843033567,0.6349638292217181,1.4031448266739046,2.007082778944326,1.0178157165114676,9.037541546270084,0.3509559419661072,237.5455059247111,0.6553454344809936,2.0,2.0,2306.540145413573,3972.84603381471,138.93140682487072,0.376776682793944,12886.945109849354,0.08034739617975084,0.1205376161844371,0.7968929019293769,0.0,0.0022220857064353303,0.0,21.947265724984756,LIMAO
51,0.31892550866999414,0.5407949499447153,1.2163216072909637,2.078348962330782,1.194990935455932,9.13037323505435,0.21550151389651392,156.82669628434584,0.3928370623240067,2.0,2.0,1326.761140482655,1416.4636000102626,70.12351934393735,0.347552706434936,7864.318204112513,0.06573215050592038,0.19641639073742614,0.7350615219143568,0.0,0.0027899368422967456,0.0,11.732588089490937,MANDAQUI
52,0.3307483531571113,0.48709035938309886,0.8684415341185971,1.694301582581218,3.298372288007551,11.361065389823011,0.0045613867964774115,5.9885213130911685,0.00010147156771529568,1.0,1.0,5.260529291230533,1.092123335572721,1.6093856735728116,0.2936825131847055,54.77465604330166,0.0,0.008364827696456143,0.9916351723035439,0.0,0.0,0.0,1.4317130476289186,MARSILAC
53,0.22158552081050253,0.6674861518158361,1.3233889624720023,1.9269552355883137,0.997625012303903,9.520870740427625,0.4727881227156659,222.0389895716415,1.1111244717079802,2.0,2.0,1779.1028571489376,8829.599991930581,85.68380804232153,0.5671412987992945,10180.542589622872,0.15903388926326223,0.37053743537854233,0.4663572211803507,0.0,0.004071454177844768,0.0,16.925931451741445,MOOCA
54,0.256221392060248,0.6084792813586066,1.3120862808625362,2.1934966818385044,0.7761245170567399,9.67298406164809,0.20997950311039915,148.73876873603763,0.6976878631941553,2.0,2.0,692.9384901448251,5113.927600332196,87.21572253801214,0.4275887684956875,3811.422884465239,0.12198376858644887,0.11504256295241108,0.7518532456711867,0.0,0.0010850821751066738,0.010035340614846795,17.742012897198855,MORUMBI
